#{"t_start": 1788624353.1507077, "env_id": "None"}
r,l,t
-19.859878,96,226.166569
-18.055501,96,226.402088
-28.169434,96,226.644089
-23.412853,96,226.975524
-29.591971,96,227.218653
-21.506625,96,227.467311
-20.481117,96,227.802171
-19.666778,96,228.046375
-23.920841,96,228.391996
-26.418685,96,228.639145
-21.033342,96,228.892156
-27.176201,96,229.236652
-20.141275,96,229.482483
-20.744409,96,229.732773
-21.594042,96,230.076447
-19.627018,96,230.336195
-24.690795,96,230.673192
-19.480001,96,230.929157
-19.799828,96,231.178437
-21.245552,96,231.533726
-21.691856,96,231.778883
-19.739917,96,232.033417
-26.757581,96,232.37634
-22.201552,96,232.629436
-21.536887,96,232.969198
-18.217809,96,233.226707
-23.785302,96,233.475278
-20.230584,96,233.832141
-24.634839,96,234.09163
-20.71507,96,234.357212
-18.37274,96,234.714315
-23.468117,96,234.977306
