#{"t_start": 1788730050.692823, "env_id": "None"}
r,l,t
-22.949185,96,55.017777
-28.375561,96,55.134271
-24.785705,96,55.201943
-21.092163,96,55.319192
-16.998991,96,55.387752
-30.329695,96,55.45487
-25.305444,96,55.57867
-22.051336,96,55.648361
-22.74062,96,55.725036
-22.696391,96,55.84033
-19.135467,96,55.909027
-24.217492,96,56.030571
-22.178732,96,56.09948
-26.994509,96,56.167172
-23.59135,96,56.285767
-24.963471,96,56.354859
-22.663334,96,56.42731
-22.380375,96,56.548323
-29.061247,96,56.617946
-22.45833,96,56.739326
-24.334801,96,56.807997
-22.894505,96,56.874213
-25.173961,96,56.999732
-24.810738,96,57.071306
-22.634683,96,57.143059
-36.854859,96,57.258745
-25.432632,96,57.327559
-20.944556,96,57.447433
-22.554384,96,57.518248
-24.16111,96,57.586582
-21.351551,96,57.709431
-24.17602,96,57.779041
-24.185044,96,57.846968
-23.860385,96,57.96617
-20.01269,96,58.034432
-24.770972,96,58.151421
-28.407819,96,58.218106
-21.414559,96,58.28299
-25.527514,96,58.400741
-25.096838,96,58.471025
-25.077508,96,58.542363
-22.091684,96,58.660704
-21.734241,96,58.728981
-23.020805,96,58.846756
-26.924984,96,58.913658
-24.16875,96,58.985782
-25.671515,96,59.104428
-25.21523,96,59.172657
-18.015621,96,59.239923
-25.238837,96,59.357706
-22.706104,96,59.426632
-31.200074,96,59.545595
-19.692145,96,59.613414
-24.577644,96,59.684221
-24.14586,96,59.80636
-19.85483,96,59.881343
-29.285342,96,59.951999
-21.757667,96,60.072814
-27.072574,96,60.142734
-20.005789,96,60.259808
-20.060013,96,60.326279
-23.808127,96,60.395017
-22.575587,96,60.515704
-30.471664,96,60.588391
-24.132222,96,60.656441
-23.4947,96,60.774607
-22.680431,96,60.847154
-27.1871,96,60.971699
-24.42636,96,61.040524
-24.430661,96,61.110361
-24.075931,96,61.228307
-25.233198,96,61.296754
-24.687189,96,61.363734
-20.539328,96,61.482331
-18.329389,96,61.556715
-27.260554,96,61.678106
-19.562996,96,61.748347
-17.528285,96,61.820468
-26.004484,96,61.949584
-22.178377,96,62.024854
-21.843085,96,62.09763
-25.059817,96,62.230913
-23.921918,96,62.305386
-22.06262,96,62.428155
-27.063943,96,62.496708
-23.750321,96,62.575506
-27.24069,96,62.716008
-25.636176,96,62.807418
-20.620417,96,62.888469
-20.887652,96,63.018713
-24.255987,96,63.088415
-23.238343,96,63.225626
-23.749703,96,63.297364
-21.037398,96,63.372467
-19.665515,96,63.50137
-23.190749,96,63.575069
-22.862917,96,63.651799
-27.117004,96,63.77805
-22.887184,96,63.846141
-25.33809,96,63.967705
-27.466653,96,64.0364
-20.940817,96,64.104825
-18.309073,96,64.224321
-21.870636,96,64.292167
-25.649166,96,64.360166
-23.383659,96,64.476798
-23.449427,96,64.545083
-19.869256,96,64.663842
-20.237845,96,64.732494
-21.263348,96,64.80101
-28.729292,96,64.92546
-23.134734,96,64.991981
-25.026617,96,65.059211
-22.120572,96,65.174003
-26.304331,96,65.241539
-20.968293,96,65.361824
-23.132058,96,65.430784
-21.394323,96,65.501953
-20.718646,96,65.625393
-28.132103,96,65.691847
-27.578499,96,65.759947
-22.0006,96,65.881598
-19.980585,96,65.966066
-21.597877,96,66.084212
-24.252057,96,66.151644
-20.033351,96,66.220133
-21.916405,96,66.343112
-23.754688,96,66.410053
-19.23444,96,66.482021
-20.795935,96,66.609036
-18.137916,96,66.690213
-25.469843,96,66.816384
-20.090913,96,66.887217
-24.757018,96,66.965551
-19.228609,96,67.088184
-22.682597,96,67.157522
-21.76689,96,67.223163
-21.037724,96,67.341547
-24.226633,96,67.410007
-27.569364,96,67.531364
-23.34638,96,67.600166
-15.904995,96,67.671875
-26.493333,96,67.792361
-19.443666,96,67.86346
-19.245537,96,67.933668
-22.37982,96,68.053531
-26.894506,96,68.121696
-22.919531,96,68.242985
-16.820491,96,68.310098
-17.294256,96,68.378312
-21.195028,96,68.507994
-30.766856,96,68.582685
-20.278208,96,68.655302
-26.636733,96,68.781684
-21.701806,96,68.848981
-24.753757,96,68.97365
-20.14901,96,69.040973
-32.774756,96,69.110499
-22.476711,96,69.246234
-18.857697,96,69.314651
-17.563587,96,69.382153
-17.178379,96,69.508803
-18.703184,96,69.588179
-19.372065,96,69.730134
-20.61364,96,69.813054
-23.02286,96,69.900611
-20.937655,96,70.032
-22.373305,96,70.102415
-27.482134,96,70.174572
-20.731318,96,70.294301
-23.221579,96,70.366562
-22.476785,96,70.487968
-24.038261,96,70.558476
-28.869253,96,70.630824
-19.825357,96,70.756793
-22.086684,96,70.824158
-28.467622,96,70.892761
-21.528308,96,71.016033
-21.623413,96,71.081903
-33.277917,96,71.198395
-21.55194,96,71.266479
-20.529217,96,71.338857
-23.953017,96,71.469074
-21.901615,96,71.543337
-21.637162,96,71.622528
-21.933428,96,71.74866
-23.292902,96,71.815541
-24.253241,96,71.938703
-21.436201,96,72.005764
-24.331037,96,72.07264
-25.083569,96,72.197012
-22.884057,96,72.263567
-22.240788,96,72.331738
-32.735027,96,72.448801
-25.566795,96,72.513548
-23.046635,96,72.638031
-19.047826,96,72.70757
-22.397151,96,72.776597
-22.996662,96,72.89581
-28.116536,96,72.968488
-16.831039,96,73.03588
-25.611615,96,73.152384
-29.690242,96,73.218632
-27.35773,96,73.336833
-20.464714,96,73.40373
-24.099273,96,73.471394
-17.669108,96,73.586518
-23.043423,96,73.65585
-23.065732,96,73.725209
-18.635252,96,73.848652
-20.034152,96,73.922236
-23.481096,96,74.049998
-22.091375,96,74.122763
-23.521758,96,74.195605
-26.850488,96,74.320182
-35.647334,96,74.392669
-25.636507,96,74.464012
-28.579934,96,74.589987
-20.119731,96,74.661992
